order_item_key,orders_key,product_key,product_variant_key,time_key,customer_key,platform_key,item_quantity,paid_price,original_unit_price,voucher_platform_amount,voucher_seller_amount,shipping_fee_paid_by_buyer
S00000001,1.2,92.2,334.2,20200919,10001.2,2,1,198.0,265.0,0.0,0.0,78.45283018867924
S00000002,2.2,92.2,334.2,20201004,10002.2,2,1,230.0,230.0,0.0,0.0,45.0
S00000003,3.2,92.2,334.2,20201005,10003.2,2,1,200.0,230.0,0.0,0.0,69.56521739130434
S00000004,4.2,92.2,334.2,20201006,10004.2,2,2,460.0,460.0,0.0,0.0,45.0
S00000005,5.2,92.2,334.2,20201007,10007.2,2,1,195.0,230.0,35.0,0.0,38.15217391304348
S00000006,6.2,92.2,334.2,20201007,10005.2,2,1,230.0,230.0,0.0,0.0,45.0
S00000007,8.2,92.2,334.2,20201008,10006.2,2,1,195.0,230.0,35.0,0.0,38.15217391304348
S00000008,9.2,92.2,334.2,20201008,10011.2,2,1,218.0,230.0,0.0,0.0,42.65217391304348
S00000009,10.2,92.2,334.2,20201008,10009.2,2,1,230.0,230.0,0.0,0.0,105.0
S00000010,11.2,92.2,334.2,20201008,10008.2,2,1,230.0,230.0,0.0,0.0,45.0
S00000011,12.2,92.2,334.2,20201008,10010.2,2,1,230.0,230.0,0.0,0.0,105.0
S00000012,13.2,92.2,334.2,20201010,10012.2,2,1,196.0,230.0,34.0,0.0,68.17391304347827
S00000013,14.2,92.2,334.2,20201011,43207.2,2,1,230.0,230.0,0.0,0.0,45.0
S00000014,15.2,92.2,334.2,20201013,10014.2,2,1,230.0,230.0,0.0,0.0,105.0
S00000015,17.2,92.2,334.2,20201014,10016.2,2,1,230.0,230.0,0.0,0.0,80.0
S00000016,19.2,92.2,334.2,20201017,10017.2,2,2,460.0,460.0,0.0,0.0,105.0
S00000017,21.2,92.2,334.2,20201020,10018.2,2,1,230.0,230.0,0.0,0.0,75.0
S00000018,24.2,91.2,333.2,20201111,10022.2,2,1,224.0,299.0,0.0,0.0,62.18060200668896
S00000019,25.2,19.2,385.2,20201111,10021.2,2,1,253.0,299.0,0.0,0.0,38.07692307692308
S00000020,26.2,19.2,385.2,20201117,10023.2,2,6,1794.0,1794.0,0.0,0.0,187.0
S00000021,27.2,19.2,385.2,20201123,10024.2,2,1,299.0,299.0,0.0,0.0,45.0
S00000022,29.2,91.2,333.2,20201206,10026.2,2,1,299.0,299.0,0.0,0.0,114.0
S00000023,30.2,19.2,317.2,20201213,10027.2,2,1,60.0,60.0,0.0,0.0,45.0
S00000024,31.2,19.2,317.2,20201215,10028.2,2,1,60.0,60.0,0.0,0.0,45.0
S00000025,33.2,19.2,317.2,20201217,10030.2,2,1,59.0,60.0,0.0,0.0,44.25
S00000026,34.2,19.2,318.2,20201218,43207.2,2,1,296.0,299.0,0.0,0.0,44.54849498327759
S00000027,35.2,19.2,317.2,20201219,10032.2,2,1,60.0,60.0,0.0,0.0,24.0
S00000028,35.2,19.2,315.2,20201219,10032.2,2,1,60.0,60.0,0.0,0.0,24.0
S00000029,36.2,92.2,334.2,20201221,10033.2,2,1,229.0,229.0,0.0,0.0,113.0
