date,forecasted_gross_revenue
2025-10-30,3600.8719822930084
2025-10-31,3600.8719822930084
2025-11-01,3600.8719822930084
2025-11-02,3600.8719822930084
2025-11-03,3600.8719822930084
2025-11-04,3600.8719822930084
2025-11-05,3600.8719822930084
2025-11-06,3600.8719822930084
2025-11-07,3600.8719822930084
2025-11-08,3600.8719822930084
2025-11-09,3600.8719822930084
2025-11-10,3600.8719822930084
2025-11-11,3600.8719822930084
2025-11-12,3600.8719822930084
2025-11-13,3600.8719822930084
2025-11-14,3600.8719822930084
2025-11-15,3600.8719822930084
2025-11-16,3600.8719822930084
2025-11-17,3600.8719822930084
2025-11-18,3600.8719822930084
2025-11-19,3600.8719822930084
2025-11-20,3600.8719822930084
2025-11-21,3600.8719822930084
2025-11-22,3600.8719822930084
2025-11-23,3600.8719822930084
2025-11-24,3600.8719822930084
2025-11-25,3600.8719822930084
2025-11-26,3600.8719822930084
2025-11-27,3600.8719822930084
2025-11-28,3600.8719822930084
2025-11-29,3600.8719822930084
2025-11-30,3600.8719822930084
2025-12-01,3600.8719822930084
2025-12-02,3600.8719822930084
2025-12-03,3600.8719822930084
2025-12-04,3600.8719822930084
2025-12-05,3600.8719822930084
2025-12-06,3600.8719822930084
2025-12-07,3600.8719822930084
2025-12-08,3600.8719822930084
2025-12-09,3600.8719822930084
2025-12-10,3600.8719822930084
2025-12-11,3600.8719822930084
2025-12-12,3600.8719822930084
2025-12-13,3600.8719822930084
2025-12-14,3600.8719822930084
2025-12-15,3600.8719822930084
2025-12-16,3600.8719822930084
2025-12-17,3600.8719822930084
2025-12-18,3600.8719822930084
2025-12-19,3600.8719822930084
2025-12-20,3600.8719822930084
2025-12-21,3600.8719822930084
2025-12-22,3600.8719822930084
2025-12-23,3600.8719822930084
2025-12-24,3600.8719822930084
2025-12-25,3600.8719822930084
2025-12-26,3600.8719822930084
2025-12-27,3600.8719822930084
2025-12-28,3600.8719822930084
2025-12-29,3600.8719822930084
2025-12-30,3600.8719822930084
2025-12-31,3600.8719822930084
2026-01-01,3600.8719822930084
2026-01-02,3600.8719822930084
2026-01-03,3600.8719822930084
2026-01-04,3600.8719822930084
2026-01-05,3600.8719822930084
2026-01-06,3600.8719822930084
2026-01-07,3600.8719822930084
2026-01-08,3600.8719822930084
2026-01-09,3600.8719822930084
2026-01-10,3600.8719822930084
2026-01-11,3600.8719822930084
2026-01-12,3600.8719822930084
2026-01-13,3600.8719822930084
2026-01-14,3600.8719822930084
2026-01-15,3600.8719822930084
2026-01-16,3600.8719822930084
2026-01-17,3600.8719822930084
2026-01-18,3600.8719822930084
2026-01-19,3600.8719822930084
2026-01-20,3600.8719822930084
2026-01-21,3600.8719822930084
2026-01-22,3600.8719822930084
2026-01-23,3600.8719822930084
2026-01-24,3600.8719822930084
2026-01-25,3600.8719822930084
2026-01-26,3600.8719822930084
2026-01-27,3600.8719822930084
